date,industry,name,opportunities,salary,qualification
3/04/2023 17:15,Information & Communication Technology careers,.Net Developer,"2,160",$120K,"Complete a relevant qualification, such as a Bachelor of Computer Science or Bachelor of Information Technology. "
3/04/2023 17:15,Information & Communication Technology careers,Acquisition Consultant,6,N/A,no data
3/04/2023 17:15,Information & Communication Technology careers,Agile Business Analyst,"1,504",$130K,Explore formal training options. There are many different courses depending on your interests and skills. Some options may include a Bachelor of Computer Science or a Bachelor of Information Technology.
3/04/2023 17:15,Information & Communication Technology careers,Analyst Developer,185,$120K,no data
3/04/2023 17:15,Information & Communication Technology careers,Analyst Programmer,"1,116",$100K,"There are a range of different formal training options that provide an entry into the information technology industry, such as a Diploma of Information Technology (ICT50115) or an Advanced Diploma of Information Technology Business Analysis (ICT60315)."
3/04/2023 17:15,Consulting & Strategy careers,Analytics Consultant,30,$128K,no data
3/04/2023 17:15,Information & Communication Technology careers,Analytics Manager,210,$135K,no data
3/04/2023 17:15,Information & Communication Technology careers,Analytics Specialist,31,$120K,no data
3/04/2023 17:15,Information & Communication Technology careers,Android Developer,499,$130K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering (Honours). This usually takes three to four years. "
3/04/2023 17:15,Information & Communication Technology careers,Angular Developer,232,$125K,no data
3/04/2023 17:15,Information & Communication Technology careers,Application Architect,286,$165K,no data
3/04/2023 17:15,Information & Communication Technology careers,Application Consultant,31,$95K,no data
3/04/2023 17:15,Information & Communication Technology careers,Application Specialist,159,$110K,no data
3/04/2023 17:15,Information & Communication Technology careers,Applications Analyst,136,$110K,no data
3/04/2023 17:15,Information & Communication Technology careers,Applications Developer,303,$110K,no data
3/04/2023 17:15,Information & Communication Technology careers,Applications Manager,186,$140K,no data
3/04/2023 17:15,Information & Communication Technology careers,Applications Officer,74,$70K,no data
3/04/2023 17:15,Information & Communication Technology careers,Applications Support Analyst,"2,980",$90K,no data
3/04/2023 17:15,Information & Communication Technology careers,Architecture Manager,59,N/A,no data
3/04/2023 17:15,Information & Communication Technology careers,Asset Analyst,14,$95K,no data
3/04/2023 17:15,Information & Communication Technology careers,Automation Analyst,68,$100K,no data
3/04/2023 17:15,Information & Communication Technology careers,Automation Consultant,11,$105K,no data
3/04/2023 17:15,Information & Communication Technology careers,Automation Engineer,610,$120K,no data
3/04/2023 17:15,Information & Communication Technology careers,Automation Manager,37,$140K,no data
3/04/2023 17:15,Information & Communication Technology careers,Automation Specialist,23,$115K,no data
3/04/2023 17:15,Information & Communication Technology careers,Backend Developer,400,$120K,Complete a qualification in Computer Science with a focus on Software Development.
3/04/2023 17:15,Information & Communication Technology careers,Benefits Specialist,6,$90K,no data
3/04/2023 17:15,Information & Communication Technology careers,Business Analyst,"6,901",$115K,"Complete a bachelor degree in business, business analytics, information technology or a related field. This usually takes three years of full-time study."
3/04/2023 17:15,Information & Communication Technology careers,Business Consultant,149,$110K,A Bachelor of Business may be an advantage when looking to become a Business Consultant.
3/04/2023 17:15,Information & Communication Technology careers,Business Intelligence Analyst,714,$110K,"Complete a bachelor degree majoring in computer science, data science, business or a related field. This is usually a three-year course of full-time study."
3/04/2023 17:15,Information & Communication Technology careers,Business Intelligence Consultant,145,$115K,no data
3/04/2023 17:15,Information & Communication Technology careers,Business Intelligence Software Developer,183,$120K,Complete a Bachelor of Information Technology or Bachelor of Computer Science.  
3/04/2023 17:15,Information & Communication Technology careers,Business Process Analyst,"2,093",$105K,no data
3/04/2023 17:15,Information & Communication Technology careers,Business Systems Analyst,"2,039",$108K,"Complete a degree in information technology, information systems or business information systems such as a Bachelor of Business Information Systems."
3/04/2023 17:15,Information & Communication Technology careers,C# Developer,"7,509",N/A,no data
