date,industry,name,opportunities,salary,qualification,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Configuration Specialist,19,$110K,no data,,,,,,
2/04/2023 22:52,Marketing & Communications careers,Content Administrator,4,$60K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Content Developer,27,$83K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Customer Relationship Management Developer,116,$115K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Cyber Security Analyst,529,$95K,"Complete a bachelor degree in computer science, cyber security, information technology or a related field.",,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Data Analyst,"5,164",$100K,"Complete a bachelor degree in a relevant discipline, such as computer science, information technology, mathematics, statistics or business analytics. ",,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Data Architect,897,$175K,Complete a Bachelor of Science (Data Science) or a Bachelor of Computer Science. This is a three-year course of full-time study. ,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Data Consultant,66,$115K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Data Developer,111,$110K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Data Engineer,"1,488",$130K,Complete a bachelor degree in computer science. This is typically a three–year course of full–time study.,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Data Manager,785,$125K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Data Officer,120,$80K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Data Specialist,244,$100K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Data Warehouse Developer,95,$135K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Data Warehouse Specialist,72,N/A,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Database Administrator,347,$110K,"Complete a qualification in Information Technology. This could be a Certificate IV in Information Technology (ICT40120), a Diploma of Information Technology (ICT50220), or a bachelor degree majoring in Information Technology.",,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Database Developer,280,$120K,"Complete a qualification in computer science with a focus on software development. This could be a certificate, diploma or a bachelor degree.",,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Delivery Consultant,86,$80K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Delivery Director,68,$315K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Delivery Engineer,911,$105K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Delivery Lead,"2,594",$145K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Delivery Manager,"2,600",$140K,"Complete a bachelor degree in business, commerce, IT or a related field. This usually takes three years of full-time study.",,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Deployment Engineer,67,$120K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Design Specialist,89,$100K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Design Team Leader,589,$105K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Desktop Support Specialist,521,$75K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,DevOps Engineer,"2,076",$135K,Complete a Bachelor of Computer Science or a related degree that focuses on software development. ,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Developer,"9,266",$115K,Complete a qualification in computer science with a focus on software development.,,,,,,
2/04/2023 22:53,Sales careers,Development Specialist,136,$100K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Development Team Leader,"2,698",$110K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Digital Business Analyst,"1,153",$130K,"Complete a bachelor degree in IT, business, marketing or a related field. Aim to secure an internship while studying to gain industry experience.  ",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Digital Project Manager,"2,208",$105K,Consider training in the Agile project management methodology to become a Scrum Master. Agile is the project management methodology of choice in the digital industry.,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Domain Architect,387,$173K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Drupal Developer,9,$133K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Engagement Manager,57,$110K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Engineer,"12,446",$105K,"Decide on what type of Engineer you want to be. Although many of the skills of an Engineer are transferable between disciplines, it is recommended that you choose a specialisation early, in order to better focus your studies and training.",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Engineering Lead,624,$168K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Enterprise Architect,856,$170K,"Get a bachelor or master’s degree in computer science, information technology or a related field. ",,,,,,
2/04/2023 22:53,,Experience Consultant,350,$80K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Experience Executive,74,$73K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Extract Transform Load Developer,23,$120K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Field Engineer,996,$93K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Firmware Engineer,119,$105K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Front End Developer,"2,277",$115K,"Complete a qualification in Computer Science with a focus on Software Development. This could be a Certificate IV in Information Technology (Programming) (ICT40120), a Diploma of Information Technology (ICT50220) or a Bachelor degree majoring in Software Development.",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Full Stack Developer,"1,274",$120K,"Complete a relevant qualification. This could be a Certificate IV in Information Technology (Programming) (ICT40120), Diploma of Information Technology (Back End Web Development) (ICT50220) or Diploma of Information Technology (Front End Web Development) (ICT50220).  Alternatively, you could complete a more advanced qualification, such as a bachelor degree in IT or computer science. ",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Functional Analyst,154,$120K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Functional Consultant,192,$150K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Functional Specialist,42,$140K,no data,,,,,,
