date,industry,name,opportunities,salary,qualification
5/04/2023 15:25,Information & Communication Technology careers,.Net Developer,"2,193",$120K,"Complete a relevant qualification, such as a Bachelor of Computer Science or Bachelor of Information Technology. "
5/04/2023 15:25,Information & Communication Technology careers,Acquisition Consultant,7,N/A,no data
5/04/2023 15:25,Information & Communication Technology careers,Agile Business Analyst,"1,540",$130K,Explore formal training options. There are many different courses depending on your interests and skills. Some options may include a Bachelor of Computer Science or a Bachelor of Information Technology.
5/04/2023 15:25,Information & Communication Technology careers,Analyst Developer,192,$115K,no data
5/04/2023 15:25,Information & Communication Technology careers,Analyst Programmer,"1,180",$100K,"There are a range of different formal training options that provide an entry into the information technology industry, such as a Diploma of Information Technology (ICT50115) or an Advanced Diploma of Information Technology Business Analysis (ICT60315)."
5/04/2023 15:25,Consulting & Strategy careers,Analytics Consultant,29,$128K,no data
5/04/2023 15:25,Information & Communication Technology careers,Analytics Manager,217,$140K,no data
5/04/2023 15:25,Information & Communication Technology careers,Analytics Specialist,31,$120K,no data
5/04/2023 15:26,Information & Communication Technology careers,Android Developer,543,$128K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering (Honours). This usually takes three to four years. "
5/04/2023 15:26,Information & Communication Technology careers,Angular Developer,235,$123K,no data
5/04/2023 15:26,Information & Communication Technology careers,Application Architect,284,$170K,no data
5/04/2023 15:26,Information & Communication Technology careers,Application Consultant,31,$100K,no data
5/04/2023 15:26,Information & Communication Technology careers,Application Specialist,165,$110K,no data
5/04/2023 15:26,Information & Communication Technology careers,Applications Analyst,144,$110K,no data
5/04/2023 15:26,Information & Communication Technology careers,Applications Developer,343,$98K,no data
5/04/2023 15:26,Information & Communication Technology careers,Applications Manager,197,$140K,no data
5/04/2023 15:26,Information & Communication Technology careers,Applications Officer,69,$70K,no data
5/04/2023 15:26,Information & Communication Technology careers,Applications Support Analyst,"3,074",$90K,no data
5/04/2023 15:26,Information & Communication Technology careers,Architecture Manager,62,N/A,no data
5/04/2023 15:26,Information & Communication Technology careers,Asset Analyst,13,$100K,no data
5/04/2023 15:26,Information & Communication Technology careers,Automation Analyst,71,$100K,no data
5/04/2023 15:26,Information & Communication Technology careers,Automation Consultant,12,$105K,no data
5/04/2023 15:26,Information & Communication Technology careers,Automation Engineer,653,$120K,no data
5/04/2023 15:26,Information & Communication Technology careers,Automation Manager,37,$140K,no data
5/04/2023 15:26,Information & Communication Technology careers,Automation Specialist,28,$110K,no data
5/04/2023 15:26,Information & Communication Technology careers,Backend Developer,414,$120K,Complete a qualification in Computer Science with a focus on Software Development.
5/04/2023 15:26,Information & Communication Technology careers,Benefits Specialist,8,$90K,no data
5/04/2023 15:26,Information & Communication Technology careers,Business Analyst,"7,165",$120K,"Complete a bachelor degree in business, business analytics, information technology or a related field. This usually takes three years of full-time study."
5/04/2023 15:26,Information & Communication Technology careers,Business Consultant,162,$110K,A Bachelor of Business may be an advantage when looking to become a Business Consultant.
5/04/2023 15:26,Information & Communication Technology careers,Business Intelligence Analyst,758,$110K,"Complete a bachelor degree majoring in computer science, data science, business or a related field. This is usually a three-year course of full-time study."
5/04/2023 15:26,Information & Communication Technology careers,Business Intelligence Consultant,150,$125K,no data
5/04/2023 15:26,Information & Communication Technology careers,Business Intelligence Software Developer,184,$125K,Complete a Bachelor of Information Technology or Bachelor of Computer Science.  
5/04/2023 15:26,Information & Communication Technology careers,Business Process Analyst,"2,154",$120K,no data
5/04/2023 15:26,Information & Communication Technology careers,Business Systems Analyst,"2,093",$105K,"Complete a degree in information technology, information systems or business information systems such as a Bachelor of Business Information Systems."
5/04/2023 15:26,Information & Communication Technology careers,C# Developer,"7,812",N/A,no data
5/04/2023 15:26,Information & Communication Technology careers,Campaign Analyst,75,$110K,no data
5/04/2023 15:26,Information & Communication Technology careers,Capability Manager,53,$155K,no data
5/04/2023 15:26,Information & Communication Technology careers,Capability Specialist,63,$120K,no data
5/04/2023 15:26,Information & Communication Technology careers,Capacity Manager,19,N/A,no data
5/04/2023 15:26,Information & Communication Technology careers,Change Analyst,750,$115K,no data
