date,industry,name,opportunities,salary,qualification,
9/04/2023 18:19,Information & Communication Technology careers,.Net Developer,"2,016",$120K,"Complete a relevant qualification, such as a Bachelor of Computer Science or Bachelor of Information Technology. ",
9/04/2023 18:19,Information & Communication Technology careers,Acquisition Consultant,7,N/A,no data,
9/04/2023 18:19,Information & Communication Technology careers,Agile Business Analyst,"1,434",$130K,Explore formal training options. There are many different courses depending on your interests and skills. Some options may include a Bachelor of Computer Science or a Bachelor of Information Technology.,
9/04/2023 18:19,Information & Communication Technology careers,Analyst Developer,169,$115K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Analyst Programmer,"1,099",$100K,"There are a range of different formal training options that provide an entry into the information technology industry, such as a Diploma of Information Technology (ICT50115) or an Advanced Diploma of Information Technology Business Analysis (ICT60315).",
9/04/2023 18:19,Consulting & Strategy careers,Analytics Consultant,31,$128K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Analytics Manager,197,$140K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Analytics Specialist,26,$120K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Android Developer,499,$128K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering (Honours). This usually takes three to four years. ",
9/04/2023 18:19,Information & Communication Technology careers,Angular Developer,210,$123K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Application Architect,261,$170K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Application Consultant,32,$100K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Application Specialist,158,$110K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Applications Analyst,112,$110K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Applications Developer,331,$98K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Applications Manager,174,$140K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Applications Officer,62,$70K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Applications Support Analyst,"2,843",$90K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Architecture Manager,62,N/A,no data,
9/04/2023 18:19,Information & Communication Technology careers,Asset Analyst,17,$100K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Automation Analyst,57,$100K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Automation Consultant,12,$105K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Automation Engineer,583,$120K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Automation Manager,26,$140K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Automation Specialist,21,$110K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Backend Developer,380,$120K,Complete a qualification in Computer Science with a focus on Software Development.,
9/04/2023 18:19,Information & Communication Technology careers,Benefits Specialist,7,$90K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Business Analyst,"6,657",$120K,"Complete a bachelor degree in business, business analytics, information technology or a related field. This usually takes three years of full-time study.",
9/04/2023 18:19,Information & Communication Technology careers,Business Consultant,160,$110K,A Bachelor of Business may be an advantage when looking to become a Business Consultant.,
9/04/2023 18:19,Information & Communication Technology careers,Business Intelligence Analyst,693,$110K,"Complete a bachelor degree majoring in computer science, data science, business or a related field. This is usually a three-year course of full-time study.",
9/04/2023 18:19,Information & Communication Technology careers,Business Intelligence Consultant,143,$125K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Business Intelligence Software Developer,178,$125K,Complete a Bachelor of Information Technology or Bachelor of Computer Science.  ,
9/04/2023 18:19,Information & Communication Technology careers,Business Process Analyst,"1,970",$120K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Business Systems Analyst,"1,905",$105K,"Complete a degree in information technology, information systems or business information systems such as a Bachelor of Business Information Systems.",
9/04/2023 18:19,Information & Communication Technology careers,C# Developer,"7,303",N/A,no data,
9/04/2023 18:19,Information & Communication Technology careers,Campaign Analyst,72,$110K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Capability Manager,52,$155K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Capability Specialist,58,$120K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Capacity Manager,19,N/A,no data,
9/04/2023 18:19,Information & Communication Technology careers,Change Analyst,672,$115K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Change Manager,"1,627",$130K,"Complete a bachelor degree in business, business administration, commerce, change management or a related field.",
9/04/2023 18:19,Consulting & Strategy careers,Change and Communications Manager,"1,391",$135K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Change and Release Manager,769,$120K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Chief Information Officer,272,$210K,"Complete a degree in computer science, software engineering or a related field. These are usually three-year course of full-time study, with prerequisites including completion of Australian Year 12 (or equivalent) and required units or assumed knowledge in English and mathematics.",
9/04/2023 18:19,Information & Communication Technology careers,Chief Technology Officer,156,$230K,"Complete a degree in computer science, software engineering or a related field. These are usually three-year course of full-time study, with prerequisites including completion of Australian Year 12 (or equivalent) and required units or assumed knowledge in English and mathematics.",
9/04/2023 18:19,Information & Communication Technology careers,Cloud Architect,822,$170K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Cloud Consultant,48,$155K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Cloud Developer,58,N/A,no data,
9/04/2023 18:19,Information & Communication Technology careers,Cloud Engineer,"1,241",$130K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Cloud Specialist,46,N/A,no data,
9/04/2023 18:19,Trades & Services careers,Communications Technician,440,$95K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Computer Engineer,581,N/A,"Complete a qualification in computer engineering. This could be a 
Certificate IV in Information Technology (ICT40120), a 
Diploma of Information Technology (ICT50220) or a Bachelor degree majoring in computer engineering.",
9/04/2023 18:19,Information & Communication Technology careers,Computer Technician,539,$55K,"Complete a bachelor degree in information technology, computer science or a related field.  ",
9/04/2023 18:19,Information & Communication Technology careers,Configuration Specialist,19,$115K,no data,
9/04/2023 18:19,Marketing & Communications careers,Content Administrator,3,$65K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Content Developer,22,$80K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Customer Relationship Management Developer,109,$115K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Cyber Security Analyst,508,$90K,"Complete a bachelor degree in computer science, cyber security, information technology or a related field.",
9/04/2023 18:19,Information & Communication Technology careers,Data Analyst,"5,004",$100K,"Complete a bachelor degree in a relevant discipline, such as computer science, information technology, mathematics, statistics or business analytics. ",
9/04/2023 18:19,Information & Communication Technology careers,Data Architect,872,$175K,Complete a Bachelor of Science (Data Science) or a Bachelor of Computer Science. This is a three-year course of full-time study. ,
9/04/2023 18:19,Information & Communication Technology careers,Data Consultant,69,$115K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Data Developer,127,$115K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Data Engineer,"1,412",$130K,Complete a bachelor degree in computer science. This is typically a three–year course of full–time study.,
9/04/2023 18:19,Information & Communication Technology careers,Data Manager,770,$110K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Data Officer,115,$80K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Data Specialist,246,$95K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Data Warehouse Developer,106,$135K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Data Warehouse Specialist,69,N/A,no data,
9/04/2023 18:19,Information & Communication Technology careers,Database Administrator,340,$105K,"Complete a qualification in Information Technology. This could be a Certificate IV in Information Technology (ICT40120), a Diploma of Information Technology (ICT50220), or a bachelor degree majoring in Information Technology.",
9/04/2023 18:19,Information & Communication Technology careers,Database Developer,266,$125K,"Complete a qualification in computer science with a focus on software development. This could be a certificate, diploma or a bachelor degree.",
9/04/2023 18:19,Information & Communication Technology careers,Delivery Consultant,74,$80K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Delivery Director,62,$295K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Delivery Engineer,887,$105K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Delivery Lead,"2,495",$145K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Delivery Manager,"2,524",$140K,"Complete a bachelor degree in business, commerce, IT or a related field. This usually takes three years of full-time study.",
9/04/2023 18:19,Information & Communication Technology careers,Deployment Engineer,70,$120K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Design Specialist,83,$120K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Design Team Leader,566,$105K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Desktop Support Specialist,469,$75K,no data,
9/04/2023 18:19,Information & Communication Technology careers,DevOps Engineer,"2,015",$135K,Complete a Bachelor of Computer Science or a related degree that focuses on software development. ,
9/04/2023 18:19,Information & Communication Technology careers,Developer,"8,898",$115K,Complete a qualification in computer science with a focus on software development.,
9/04/2023 18:19,Sales careers,Development Specialist,130,$105K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Development Team Leader,"2,696",$110K,no data,
9/04/2023 18:19,Information & Communication Technology careers,Digital Business Analyst,"1,088",$125K,"Complete a bachelor degree in IT, business, marketing or a related field. Aim to secure an internship while studying to gain industry experience.  ",
9/04/2023 18:19,Information & Communication Technology careers,Digital Project Manager,"2,129",$105K,Consider training in the Agile project management methodology to become a Scrum Master. Agile is the project management methodology of choice in the digital industry.,
9/04/2023 18:20,Information & Communication Technology careers,Domain Architect,371,$173K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Drupal Developer,2,$133K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Engagement Manager,57,$110K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Engineer,"12,096",$105K,"Decide on what type of Engineer you want to be. Although many of the skills of an Engineer are transferable between disciplines, it is recommended that you choose a specialisation early, in order to better focus your studies and training.",
9/04/2023 18:20,Information & Communication Technology careers,Engineering Lead,645,$165K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Enterprise Architect,871,$170K,"Get a bachelor or master’s degree in computer science, information technology or a related field. ",
9/04/2023 18:20,no data,Experience Consultant,340,$75K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Experience Executive,64,$73K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Extract Transform Load Developer,27,$120K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Field Engineer,968,$90K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Firmware Engineer,109,$105K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Front End Developer,"2,136",$105K,"Complete a qualification in Computer Science with a focus on Software Development. This could be a Certificate IV in Information Technology (Programming) (ICT40120), a Diploma of Information Technology (ICT50220) or a Bachelor degree majoring in Software Development.",
9/04/2023 18:20,Information & Communication Technology careers,Full Stack Developer,"1,211",$120K,"Complete a relevant qualification. This could be a Certificate IV in Information Technology (Programming) (ICT40120), Diploma of Information Technology (Back End Web Development) (ICT50220) or Diploma of Information Technology (Front End Web Development) (ICT50220).  Alternatively, you could complete a more advanced qualification, such as a bachelor degree in IT or computer science. ",
9/04/2023 18:20,Information & Communication Technology careers,Functional Analyst,141,$120K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Functional Consultant,184,$140K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Functional Specialist,38,$140K,no data,
9/04/2023 18:20,Science & Technology careers,Game Designer,222,$80K,"Undertake a qualification in the area of game design. This is commonly a Certificate IV in Information Technology (Gaming Development) (ICT40120) or a 
Diploma of Information Technology (ICT50220).",
9/04/2023 18:20,Information & Communication Technology careers,Game Developer,744,$100K,The technology in use in the gaming industry evolves constantly. It is important to keep up to date with the programming languages and game engines that are currently in use in the industry and aim to specialise in one of the in-demand programming languages.,
9/04/2023 18:20,Trades & Services careers,Hardware Technician,88,N/A,no data,
9/04/2023 18:20,Information & Communication Technology careers,Helpdesk Analyst,"1,336",$68K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Helpdesk Coordinator,1,$60K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Helpdesk Manager,120,$103K,no data,
9/04/2023 18:20,Information & Communication Technology careers,Helpdesk Officer,"1,252",$65K,no data,
