date,industry,name,opportunities,salary,qualification
4/04/2023 20:53,Information & Communication Technology careers,Data Architect,942,$175K,Complete a Bachelor of Science (Data Science) or a Bachelor of Computer Science. This is a three-year course of full-time study. 
4/04/2023 20:53,Information & Communication Technology careers,Data Consultant,68,$115K,no data
4/04/2023 20:53,Information & Communication Technology careers,Data Developer,112,$110K,no data
4/04/2023 20:53,Information & Communication Technology careers,Data Engineer,"1,509",$130K,Complete a bachelor degree in computer science. This is typically a three–year course of full–time study.
4/04/2023 20:53,Information & Communication Technology careers,Data Manager,815,$125K,no data
4/04/2023 20:53,Information & Communication Technology careers,Data Officer,127,$80K,no data
4/04/2023 20:53,Information & Communication Technology careers,Data Specialist,242,$100K,no data
4/04/2023 20:53,Information & Communication Technology careers,Data Warehouse Developer,93,$135K,no data
4/04/2023 20:53,Information & Communication Technology careers,Data Warehouse Specialist,67,N/A,no data
4/04/2023 20:53,Information & Communication Technology careers,Database Administrator,359,$110K,"Complete a qualification in Information Technology. This could be a Certificate IV in Information Technology (ICT40120), a Diploma of Information Technology (ICT50220), or a bachelor degree majoring in Information Technology."
4/04/2023 20:53,Information & Communication Technology careers,Database Developer,272,$120K,"Complete a qualification in computer science with a focus on software development. This could be a certificate, diploma or a bachelor degree."
4/04/2023 20:53,Information & Communication Technology careers,Delivery Consultant,83,$80K,no data
4/04/2023 20:53,Information & Communication Technology careers,Delivery Director,68,$315K,no data
4/04/2023 20:53,Information & Communication Technology careers,Delivery Engineer,928,$105K,no data
4/04/2023 20:53,Information & Communication Technology careers,Delivery Lead,"2,670",$145K,no data
4/04/2023 20:53,Information & Communication Technology careers,Delivery Manager,"2,714",$140K,"Complete a bachelor degree in business, commerce, IT or a related field. This usually takes three years of full-time study."
4/04/2023 20:53,Information & Communication Technology careers,Deployment Engineer,69,$120K,no data
4/04/2023 20:53,Information & Communication Technology careers,Design Specialist,87,$100K,no data
4/04/2023 20:53,Information & Communication Technology careers,Design Team Leader,597,$105K,no data
4/04/2023 20:53,Information & Communication Technology careers,Desktop Support Specialist,521,$75K,no data
4/04/2023 20:53,Information & Communication Technology careers,DevOps Engineer,"2,140",$135K,Complete a Bachelor of Computer Science or a related degree that focuses on software development. 
4/04/2023 20:53,Information & Communication Technology careers,Developer,"9,525",$115K,Complete a qualification in computer science with a focus on software development.
4/04/2023 20:53,Sales careers,Development Specialist,134,$100K,no data
4/04/2023 20:53,Information & Communication Technology careers,Development Team Leader,"2,797",$110K,no data
4/04/2023 20:53,Information & Communication Technology careers,Digital Business Analyst,"1,176",$130K,"Complete a bachelor degree in IT, business, marketing or a related field. Aim to secure an internship while studying to gain industry experience.  "
4/04/2023 20:53,Information & Communication Technology careers,Digital Project Manager,"2,298",$105K,Consider training in the Agile project management methodology to become a Scrum Master. Agile is the project management methodology of choice in the digital industry.
4/04/2023 20:54,Information & Communication Technology careers,Domain Architect,400,$173K,no data
4/04/2023 20:54,Information & Communication Technology careers,Drupal Developer,8,$133K,no data
4/04/2023 20:54,Information & Communication Technology careers,Engagement Manager,-,$110K,no data
4/04/2023 20:54,Information & Communication Technology careers,Engineer,"12,798",$105K,"Decide on what type of Engineer you want to be. Although many of the skills of an Engineer are transferable between disciplines, it is recommended that you choose a specialisation early, in order to better focus your studies and training."
4/04/2023 20:54,Information & Communication Technology careers,Engineering Lead,663,$168K,no data
4/04/2023 20:54,Information & Communication Technology careers,Enterprise Architect,915,$170K,"Get a bachelor or master’s degree in computer science, information technology or a related field. "
4/04/2023 20:54,no data,Experience Consultant,362,$80K,no data
4/04/2023 20:54,Information & Communication Technology careers,Experience Executive,70,$73K,no data
4/04/2023 20:54,Information & Communication Technology careers,Extract Transform Load Developer,21,$120K,no data
4/04/2023 20:54,Information & Communication Technology careers,Field Engineer,"1,022",$93K,no data
4/04/2023 20:54,Information & Communication Technology careers,Firmware Engineer,124,$105K,no data
4/04/2023 20:54,Information & Communication Technology careers,Front End Developer,"2,301",$115K,"Complete a qualification in Computer Science with a focus on Software Development. This could be a Certificate IV in Information Technology (Programming) (ICT40120), a Diploma of Information Technology (ICT50220) or a Bachelor degree majoring in Software Development."
4/04/2023 20:54,Information & Communication Technology careers,Full Stack Developer,"1,294",$120K,"Complete a relevant qualification. This could be a Certificate IV in Information Technology (Programming) (ICT40120), Diploma of Information Technology (Back End Web Development) (ICT50220) or Diploma of Information Technology (Front End Web Development) (ICT50220).  Alternatively, you could complete a more advanced qualification, such as a bachelor degree in IT or computer science. "
4/04/2023 20:54,Information & Communication Technology careers,Functional Analyst,161,$120K,no data
4/04/2023 20:54,Information & Communication Technology careers,Functional Consultant,201,$150K,no data
4/04/2023 20:54,Information & Communication Technology careers,Functional Specialist,40,$140K,no data
4/04/2023 20:54,Science & Technology careers,Game Designer,231,$80K,"Undertake a qualification in the area of game design. This is commonly a Certificate IV in Information Technology (Gaming Development) (ICT40120) or a 
Diploma of Information Technology (ICT50220)."
4/04/2023 20:54,Information & Communication Technology careers,Game Developer,808,$100K,The technology in use in the gaming industry evolves constantly. It is important to keep up to date with the programming languages and game engines that are currently in use in the industry and aim to specialise in one of the in-demand programming languages.
4/04/2023 20:54,Trades & Services careers,Hardware Technician,82,$65K,no data
4/04/2023 20:54,Information & Communication Technology careers,Helpdesk Analyst,"1,436",$68K,no data
4/04/2023 20:54,Information & Communication Technology careers,Helpdesk Coordinator,2,$65K,no data
4/04/2023 20:54,Information & Communication Technology careers,Helpdesk Manager,127,$105K,no data
4/04/2023 20:54,Information & Communication Technology careers,Helpdesk Officer,"1,344",$65K,no data
4/04/2023 20:54,Information & Communication Technology careers,Helpdesk Operator,297,$60K,no data
4/04/2023 20:54,Information & Communication Technology careers,Helpdesk Team Leader,238,N/A,no data
4/04/2023 20:54,Information & Communication Technology careers,Helpdesk Technician,77,$65K,no data
4/04/2023 20:54,Information & Communication Technology careers,IT Business Analyst,"2,221",$105K,"Complete a bachelor degree in business administration, information systems or a related field. Alternatively, for students with previous tertiary qualifications in an unrelated field, complete a postgraduate qualification in business administration or a similar discipline."
4/04/2023 20:54,Information & Communication Technology careers,IT Consultant,264,$90K,Complete a bachelor degree majoring in Information Technology. This is usually a three–year course of study.
4/04/2023 20:54,Information & Communication Technology careers,IT Manager,"3,714",$130K,"Complete a bachelor degree in computer science, information technology, IT project management or a related field."
4/04/2023 20:54,Information & Communication Technology careers,IT Project Manager,"3,882",$135K,Consider completing an undergraduate degree such as the Bachelor of Information Technology or Bachelor of Computer Science.
4/04/2023 20:54,Information & Communication Technology careers,IT Service Desk Analyst,"1,532",$70K,no data
4/04/2023 20:54,Information & Communication Technology careers,IT Support Engineer,"2,202",$78K,no data
4/04/2023 20:54,Information & Communication Technology careers,IT Support Officer,"1,446",$73K,"Complete a qualification in information technology, or information technology support, such a Diploma of Information Technology (ICT50115) or a Bachelor of Information Technology. You’ll usually need a senior secondary school certificate or equivalent to gain entry."
4/04/2023 20:54,Information & Communication Technology careers,IT Support Technician,"1,379",$68K,"Complete a qualification in information technology, or information technology support, such a Diploma of Information Technology (ICT50115) or a Bachelor of Information Technology. You’ll usually need a senior secondary school certificate or equivalent to gain entry."
4/04/2023 20:54,Information & Communication Technology careers,IT Technician,617,$68K,Complete a qualification in Information Technology. This could be the Diploma of Information Technology (ICT50118) or a Bachelor of Information Technology.
4/04/2023 20:54,Information & Communication Technology careers,Implementation Consultant,256,$120K,no data
4/04/2023 20:54,Information & Communication Technology careers,Implementation Engineer,109,$105K,no data
4/04/2023 20:54,Information & Communication Technology careers,Implementation Manager,237,$128K,no data
4/04/2023 20:54,Information & Communication Technology careers,Implementation Specialist,40,$80K,no data
4/04/2023 20:54,Information & Communication Technology careers,Incident Manager,254,$130K,no data
4/04/2023 20:54,Information & Communication Technology careers,Incident and Problem Manager,311,$105K,no data
4/04/2023 20:54,Information & Communication Technology careers,Information Analyst,68,$95K,no data
4/04/2023 20:54,Information & Communication Technology careers,Information Management Manager,523,N/A,no data
4/04/2023 20:54,Information & Communication Technology careers,Information Manager,238,$130K,no data
4/04/2023 20:54,Information & Communication Technology careers,Information Security Analyst,280,$105K,"Complete a bachelor degree in computer science, programming, or a related field."
4/04/2023 20:54,Information & Communication Technology careers,Information Technology Director,200,$165K,no data
4/04/2023 20:54,Information & Communication Technology careers,Information Technology Specialist,630,$60K,no data
4/04/2023 20:54,Information & Communication Technology careers,Infrastructure Analyst,55,$105K,no data
4/04/2023 20:54,Information & Communication Technology careers,Infrastructure Architect,"1,091",$175K,no data
4/04/2023 20:54,Information & Communication Technology careers,Infrastructure Consultant,9,$125K,no data
4/04/2023 20:54,Information & Communication Technology careers,Infrastructure Engineer,"2,222",$125K,no data
4/04/2023 20:54,Information & Communication Technology careers,Infrastructure Lead,230,$130K,no data
4/04/2023 20:54,Information & Communication Technology careers,Infrastructure Manager,414,$130K,no data
4/04/2023 20:54,Engineering careers,Infrastructure Officer,17,$88K,no data
4/04/2023 20:54,Information & Communication Technology careers,Infrastructure Project Manager,"1,922",$140K,"Obtain a White Card. You can apply for a White Card online, and it is mandatory to hold one in order to work on a construction site in Australia."
4/04/2023 20:54,Information & Communication Technology careers,Infrastructure Specialist,47,$110K,no data
4/04/2023 20:54,Consulting & Strategy careers,Innovation Officer,5,N/A,no data
4/04/2023 20:54,Marketing & Communications careers,Insights Analyst,266,$110K,no data
4/04/2023 20:54,Information & Communication Technology careers,Integration Analyst,48,$105K,no data
4/04/2023 20:54,Information & Communication Technology careers,Integration Consultant,24,$140K,no data
4/04/2023 20:54,Information & Communication Technology careers,Integration Developer,382,$130K,no data
4/04/2023 20:54,Information & Communication Technology careers,Integration Engineer,152,$135K,"Complete a relevant degree, such as a Bachelor of Computer Science, Bachelor of Information Technology or Bachelor of Software Engineering. This usually takes three to four years of full-time study. "
4/04/2023 20:54,Information & Communication Technology careers,Integration Manager,67,$160K,no data
4/04/2023 20:54,Information & Communication Technology careers,Integration Specialist,68,$125K,no data
4/04/2023 20:54,Information & Communication Technology careers,Intelligence Manager,23,$140K,no data
4/04/2023 20:54,Information & Communication Technology careers,Java Developer,"2,414",$135K,"Complete a relevant degree, such as a Bachelor of Computer Science, Bachelor of Information Technology or Bachelor of Software Engineering (Honours). Alternatively, a VET qualification such as a Diploma of Information Technology (ICT50220) can introduce you to some of the skills required for the role."
4/04/2023 20:54,Information & Communication Technology careers,Java Engineer,122,$140K,no data
4/04/2023 20:54,Information & Communication Technology careers,JavaScript Developer,758,$115K,Complete a qualification in Computer Science with a focus on software development. This could be a Diploma of Information Technology (ICT50115) or a Bachelor degree majoring in Software Development.
4/04/2023 20:54,Information & Communication Technology careers,Licensing Specialist,2,N/A,no data
4/04/2023 20:54,Information & Communication Technology careers,Magento Developer,11,$105K,no data
4/04/2023 20:54,Information & Communication Technology careers,Management Analyst,200,$100K,no data
