date,industry,name,opportunities,salary,qualification,
6/04/2023 16:28,Information & Communication Technology careers,.Net Developer,"2,226",$120K,"Complete a relevant qualification, such as a Bachelor of Computer Science or Bachelor of Information Technology. ",
6/04/2023 16:28,Information & Communication Technology careers,Acquisition Consultant,6,N/A,no data,
6/04/2023 16:28,Information & Communication Technology careers,Agile Business Analyst,"1,562",$130K,Explore formal training options. There are many different courses depending on your interests and skills. Some options may include a Bachelor of Computer Science or a Bachelor of Information Technology.,
6/04/2023 16:28,Information & Communication Technology careers,Analyst Developer,190,$115K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Analyst Programmer,"1,202",$100K,"There are a range of different formal training options that provide an entry into the information technology industry, such as a Diploma of Information Technology (ICT50115) or an Advanced Diploma of Information Technology Business Analysis (ICT60315).",
6/04/2023 16:28,Consulting & Strategy careers,Analytics Consultant,31,$128K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Analytics Manager,217,$140K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Analytics Specialist,30,$120K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Android Developer,546,$128K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering (Honours). This usually takes three to four years. ",
6/04/2023 16:28,Information & Communication Technology careers,Angular Developer,237,$123K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Application Architect,281,$170K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Application Consultant,35,$100K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Application Specialist,175,$110K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Applications Analyst,124,$110K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Applications Developer,345,$98K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Applications Manager,194,$140K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Applications Officer,69,$70K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Applications Support Analyst,"3,115",$90K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Architecture Manager,65,N/A,no data,
6/04/2023 16:28,Information & Communication Technology careers,Asset Analyst,17,$100K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Automation Analyst,64,$100K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Automation Consultant,13,$105K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Automation Engineer,663,$120K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Automation Manager,30,$140K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Automation Specialist,24,$110K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Backend Developer,417,$120K,Complete a qualification in Computer Science with a focus on Software Development.,
6/04/2023 16:28,Information & Communication Technology careers,Benefits Specialist,7,$90K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Business Analyst,"7,282",$120K,"Complete a bachelor degree in business, business analytics, information technology or a related field. This usually takes three years of full-time study.",
6/04/2023 16:28,Information & Communication Technology careers,Business Consultant,171,$110K,A Bachelor of Business may be an advantage when looking to become a Business Consultant.,
6/04/2023 16:28,Information & Communication Technology careers,Business Intelligence Analyst,759,$110K,"Complete a bachelor degree majoring in computer science, data science, business or a related field. This is usually a three-year course of full-time study.",
6/04/2023 16:28,Information & Communication Technology careers,Business Intelligence Consultant,151,$125K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Business Intelligence Software Developer,194,$125K,Complete a Bachelor of Information Technology or Bachelor of Computer Science.  ,
6/04/2023 16:28,Information & Communication Technology careers,Business Process Analyst,"2,164",$120K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Business Systems Analyst,"2,095",$105K,"Complete a degree in information technology, information systems or business information systems such as a Bachelor of Business Information Systems.",
6/04/2023 16:28,Information & Communication Technology careers,C# Developer,"7,959",N/A,no data,
6/04/2023 16:28,Information & Communication Technology careers,Campaign Analyst,79,$110K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Capability Manager,56,$155K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Capability Specialist,63,$120K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Capacity Manager,19,N/A,no data,
6/04/2023 16:28,Information & Communication Technology careers,Change Analyst,750,$115K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Change Manager,"1,785",$130K,"Complete a bachelor degree in business, business administration, commerce, change management or a related field.",
6/04/2023 16:28,Consulting & Strategy careers,Change and Communications Manager,"1,529",$135K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Change and Release Manager,848,$120K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Chief Information Officer,299,$210K,"Complete a degree in computer science, software engineering or a related field. These are usually three-year course of full-time study, with prerequisites including completion of Australian Year 12 (or equivalent) and required units or assumed knowledge in English and mathematics.",
6/04/2023 16:28,Information & Communication Technology careers,Chief Technology Officer,168,$230K,"Complete a degree in computer science, software engineering or a related field. These are usually three-year course of full-time study, with prerequisites including completion of Australian Year 12 (or equivalent) and required units or assumed knowledge in English and mathematics.",
6/04/2023 16:28,Information & Communication Technology careers,Cloud Architect,886,$170K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Cloud Consultant,56,$155K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Cloud Developer,64,N/A,no data,
6/04/2023 16:28,Information & Communication Technology careers,Cloud Engineer,"1,328",$130K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Cloud Specialist,54,N/A,no data,
6/04/2023 16:28,Trades & Services careers,Communications Technician,496,$95K,no data,
6/04/2023 16:28,Information & Communication Technology careers,Computer Engineer,640,N/A,"Complete a qualification in computer engineering. This could be a 
Certificate IV in Information Technology (ICT40120), a 
Diploma of Information Technology (ICT50220) or a Bachelor degree majoring in computer engineering.",
