date,industry,name,opportunities,salary,qualification,
7/04/2023 19:04,Information & Communication Technology careers,.Net Developer,"2,145",$120K,"Complete a relevant qualification, such as a Bachelor of Computer Science or Bachelor of Information Technology. ",
7/04/2023 19:04,Information & Communication Technology careers,Acquisition Consultant,7,N/A,no data,
7/04/2023 19:04,Information & Communication Technology careers,Agile Business Analyst,"1,532",$130K,Explore formal training options. There are many different courses depending on your interests and skills. Some options may include a Bachelor of Computer Science or a Bachelor of Information Technology.,
7/04/2023 19:04,Information & Communication Technology careers,Analyst Developer,181,$115K,no data,
7/04/2023 19:04,Information & Communication Technology careers,Analyst Programmer,"1,168",$100K,"There are a range of different formal training options that provide an entry into the information technology industry, such as a Diploma of Information Technology (ICT50115) or an Advanced Diploma of Information Technology Business Analysis (ICT60315).",
7/04/2023 19:04,Consulting & Strategy careers,Analytics Consultant,31,$128K,no data,
7/04/2023 19:04,Information & Communication Technology careers,Analytics Manager,210,$140K,no data,
7/04/2023 19:04,Information & Communication Technology careers,Analytics Specialist,26,$120K,no data,
7/04/2023 19:04,Information & Communication Technology careers,Android Developer,536,$128K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering (Honours). This usually takes three to four years. ",
7/04/2023 19:04,Information & Communication Technology careers,Angular Developer,231,$123K,no data,
7/04/2023 19:04,Information & Communication Technology careers,Application Architect,273,$170K,no data,
7/04/2023 19:04,Information & Communication Technology careers,Application Consultant,33,$100K,no data,
7/04/2023 19:04,Information & Communication Technology careers,Application Specialist,164,$110K,no data,
7/04/2023 19:04,Information & Communication Technology careers,Applications Analyst,122,$110K,no data,
7/04/2023 19:04,Information & Communication Technology careers,Applications Developer,345,$98K,no data,
7/04/2023 19:04,Information & Communication Technology careers,Applications Manager,185,$140K,no data,
7/04/2023 19:04,Information & Communication Technology careers,Applications Officer,66,$70K,no data,
7/04/2023 19:04,Information & Communication Technology careers,Applications Support Analyst,"3,010",$90K,no data,
7/04/2023 19:04,Information & Communication Technology careers,Architecture Manager,65,N/A,no data,
