date,industry,name,opportunities,salary,qualification,
8/04/2023 16:40,Information & Communication Technology careers,Data Analyst,"5,146",$100K,"Complete a bachelor degree in a relevant discipline, such as computer science, information technology, mathematics, statistics or business analytics. ",
8/04/2023 16:40,Information & Communication Technology careers,Data Architect,883,$175K,Complete a Bachelor of Science (Data Science) or a Bachelor of Computer Science. This is a three-year course of full-time study. ,
8/04/2023 16:40,Information & Communication Technology careers,Data Consultant,71,$115K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Data Developer,128,$115K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Data Engineer,"1,440",$130K,Complete a bachelor degree in computer science. This is typically a three–year course of full–time study.,
8/04/2023 16:40,Information & Communication Technology careers,Data Manager,788,$110K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Data Officer,118,$80K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Data Specialist,251,$95K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Data Warehouse Developer,107,$135K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Data Warehouse Specialist,70,N/A,no data,
8/04/2023 16:40,Information & Communication Technology careers,Database Administrator,347,$105K,"Complete a qualification in Information Technology. This could be a Certificate IV in Information Technology (ICT40120), a Diploma of Information Technology (ICT50220), or a bachelor degree majoring in Information Technology.",
8/04/2023 16:40,Information & Communication Technology careers,Database Developer,269,$125K,"Complete a qualification in computer science with a focus on software development. This could be a certificate, diploma or a bachelor degree.",
8/04/2023 16:40,Information & Communication Technology careers,Delivery Consultant,79,$80K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Delivery Director,62,$295K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Delivery Engineer,900,$105K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Delivery Lead,"2,590",$145K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Delivery Manager,"2,603",$140K,"Complete a bachelor degree in business, commerce, IT or a related field. This usually takes three years of full-time study.",
8/04/2023 16:40,Information & Communication Technology careers,Deployment Engineer,71,$120K,no data,
