date,industry,name,opportunities,salary,qualification,
10/04/2023 18:18,Information & Communication Technology careers,.Net Developer,"1,966",$120K,"Complete a relevant qualification, such as a Bachelor of Computer Science or Bachelor of Information Technology. ",
10/04/2023 18:18,Information & Communication Technology careers,Acquisition Consultant,6,N/A,no data,
10/04/2023 18:18,Information & Communication Technology careers,Agile Business Analyst,"1,408",$130K,Explore formal training options. There are many different courses depending on your interests and skills. Some options may include a Bachelor of Computer Science or a Bachelor of Information Technology.,
10/04/2023 18:18,Information & Communication Technology careers,Analyst Developer,164,$115K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Analyst Programmer,"1,069",$100K,"There are a range of different formal training options that provide an entry into the information technology industry, such as a Diploma of Information Technology (ICT50115) or an Advanced Diploma of Information Technology Business Analysis (ICT60315).",
10/04/2023 18:18,Consulting & Strategy careers,Analytics Consultant,29,$128K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Analytics Manager,186,$140K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Analytics Specialist,26,$120K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Android Developer,484,$128K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering (Honours). This usually takes three to four years. ",
10/04/2023 18:18,Information & Communication Technology careers,Angular Developer,206,$123K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Application Architect,253,$170K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Application Consultant,30,$100K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Application Specialist,156,$110K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Applications Analyst,109,$110K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Applications Developer,317,$98K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Applications Manager,168,$140K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Applications Officer,61,$70K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Applications Support Analyst,"2,751",$90K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Architecture Manager,61,N/A,no data,
10/04/2023 18:18,Information & Communication Technology careers,Asset Analyst,15,$100K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Automation Analyst,55,$100K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Automation Consultant,12,$105K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Automation Engineer,552,$120K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Automation Manager,26,$140K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Automation Specialist,21,$110K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Backend Developer,368,$120K,Complete a qualification in Computer Science with a focus on Software Development.,
10/04/2023 18:18,Information & Communication Technology careers,Benefits Specialist,7,$90K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Business Analyst,"6,481",$120K,"Complete a bachelor degree in business, business analytics, information technology or a related field. This usually takes three years of full-time study.",
10/04/2023 18:18,Information & Communication Technology careers,Business Consultant,153,$110K,A Bachelor of Business may be an advantage when looking to become a Business Consultant.,
10/04/2023 18:18,Information & Communication Technology careers,Business Intelligence Analyst,671,$110K,"Complete a bachelor degree majoring in computer science, data science, business or a related field. This is usually a three-year course of full-time study.",
10/04/2023 18:18,Information & Communication Technology careers,Business Intelligence Consultant,136,$125K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Business Intelligence Software Developer,175,$125K,Complete a Bachelor of Information Technology or Bachelor of Computer Science.  ,
10/04/2023 18:18,Information & Communication Technology careers,Business Process Analyst,"1,920",$120K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Business Systems Analyst,"1,857",$105K,"Complete a degree in information technology, information systems or business information systems such as a Bachelor of Business Information Systems.",
10/04/2023 18:18,Information & Communication Technology careers,C# Developer,"7,022",N/A,no data,
10/04/2023 18:18,Information & Communication Technology careers,Campaign Analyst,71,$110K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Capability Manager,51,$155K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Capability Specialist,58,$120K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Capacity Manager,19,N/A,no data,
10/04/2023 18:18,Information & Communication Technology careers,Change Analyst,656,$115K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Change Manager,"1,595",$130K,"Complete a bachelor degree in business, business administration, commerce, change management or a related field.",
10/04/2023 18:18,Consulting & Strategy careers,Change and Communications Manager,"1,356",$135K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Change and Release Manager,755,$120K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Chief Information Officer,269,$210K,"Complete a degree in computer science, software engineering or a related field. These are usually three-year course of full-time study, with prerequisites including completion of Australian Year 12 (or equivalent) and required units or assumed knowledge in English and mathematics.",
10/04/2023 18:18,Information & Communication Technology careers,Chief Technology Officer,153,$230K,"Complete a degree in computer science, software engineering or a related field. These are usually three-year course of full-time study, with prerequisites including completion of Australian Year 12 (or equivalent) and required units or assumed knowledge in English and mathematics.",
10/04/2023 18:18,Information & Communication Technology careers,Cloud Architect,800,$170K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Cloud Consultant,46,$155K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Cloud Developer,57,N/A,no data,
10/04/2023 18:18,Information & Communication Technology careers,Cloud Engineer,"1,196",$130K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Cloud Specialist,43,N/A,no data,
10/04/2023 18:18,Trades & Services careers,Communications Technician,436,$95K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Computer Engineer,570,N/A,"Complete a qualification in computer engineering. This could be a 
Certificate IV in Information Technology (ICT40120), a 
Diploma of Information Technology (ICT50220) or a Bachelor degree majoring in computer engineering.",
10/04/2023 18:18,Information & Communication Technology careers,Computer Technician,519,$55K,"Complete a bachelor degree in information technology, computer science or a related field.  ",
10/04/2023 18:18,Information & Communication Technology careers,Configuration Specialist,19,$115K,no data,
10/04/2023 18:18,Marketing & Communications careers,Content Administrator,3,$65K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Content Developer,20,$80K,no data,
10/04/2023 18:18,Information & Communication Technology careers,Customer Relationship Management Developer,106,$115K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Cyber Security Analyst,501,$90K,"Complete a bachelor degree in computer science, cyber security, information technology or a related field.",
10/04/2023 18:19,Information & Communication Technology careers,Data Analyst,"4,865",$100K,"Complete a bachelor degree in a relevant discipline, such as computer science, information technology, mathematics, statistics or business analytics. ",
10/04/2023 18:19,Information & Communication Technology careers,Data Architect,855,$175K,Complete a Bachelor of Science (Data Science) or a Bachelor of Computer Science. This is a three-year course of full-time study. ,
10/04/2023 18:19,Information & Communication Technology careers,Data Consultant,67,$115K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Data Developer,117,$115K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Data Engineer,"1,366",$130K,Complete a bachelor degree in computer science. This is typically a three–year course of full–time study.,
10/04/2023 18:19,Information & Communication Technology careers,Data Manager,746,$110K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Data Officer,111,$80K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Data Specialist,240,$95K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Data Warehouse Developer,100,$135K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Data Warehouse Specialist,65,N/A,no data,
10/04/2023 18:19,Information & Communication Technology careers,Database Administrator,326,$105K,"Complete a qualification in Information Technology. This could be a Certificate IV in Information Technology (ICT40120), a Diploma of Information Technology (ICT50220), or a bachelor degree majoring in Information Technology.",
10/04/2023 18:19,Information & Communication Technology careers,Database Developer,255,$125K,"Complete a qualification in computer science with a focus on software development. This could be a certificate, diploma or a bachelor degree.",
10/04/2023 18:19,Information & Communication Technology careers,Delivery Consultant,72,$80K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Delivery Director,58,$295K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Delivery Engineer,862,$105K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Delivery Lead,"2,445",$145K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Delivery Manager,"2,478",$140K,"Complete a bachelor degree in business, commerce, IT or a related field. This usually takes three years of full-time study.",
10/04/2023 18:19,Information & Communication Technology careers,Deployment Engineer,64,$120K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Design Specialist,82,$120K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Design Team Leader,538,$105K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Desktop Support Specialist,454,$75K,no data,
10/04/2023 18:19,Information & Communication Technology careers,DevOps Engineer,"1,959",$135K,Complete a Bachelor of Computer Science or a related degree that focuses on software development. ,
10/04/2023 18:19,Information & Communication Technology careers,Developer,"8,651",$115K,Complete a qualification in computer science with a focus on software development.,
10/04/2023 18:19,Sales careers,Development Specialist,130,$105K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Development Team Leader,"2,616",$110K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Digital Business Analyst,"1,060",$125K,"Complete a bachelor degree in IT, business, marketing or a related field. Aim to secure an internship while studying to gain industry experience.  ",
10/04/2023 18:19,Information & Communication Technology careers,Digital Project Manager,"2,081",$105K,Consider training in the Agile project management methodology to become a Scrum Master. Agile is the project management methodology of choice in the digital industry.,
10/04/2023 18:19,Information & Communication Technology careers,Domain Architect,358,$173K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Drupal Developer,2,$133K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Engagement Manager,56,$110K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Engineer,"11,689",$105K,"Decide on what type of Engineer you want to be. Although many of the skills of an Engineer are transferable between disciplines, it is recommended that you choose a specialisation early, in order to better focus your studies and training.",
10/04/2023 18:19,Information & Communication Technology careers,Engineering Lead,628,$165K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Enterprise Architect,853,$170K,"Get a bachelor or master’s degree in computer science, information technology or a related field. ",
10/04/2023 18:19,no data,Experience Consultant,330,$75K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Experience Executive,64,$73K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Extract Transform Load Developer,26,$120K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Field Engineer,930,$90K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Firmware Engineer,106,$105K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Front End Developer,"2,075",$105K,"Complete a qualification in Computer Science with a focus on Software Development. This could be a Certificate IV in Information Technology (Programming) (ICT40120), a Diploma of Information Technology (ICT50220) or a Bachelor degree majoring in Software Development.",
10/04/2023 18:19,Information & Communication Technology careers,Full Stack Developer,"1,185",$120K,"Complete a relevant qualification. This could be a Certificate IV in Information Technology (Programming) (ICT40120), Diploma of Information Technology (Back End Web Development) (ICT50220) or Diploma of Information Technology (Front End Web Development) (ICT50220).  Alternatively, you could complete a more advanced qualification, such as a bachelor degree in IT or computer science. ",
10/04/2023 18:19,Information & Communication Technology careers,Functional Analyst,135,$120K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Functional Consultant,180,$140K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Functional Specialist,38,$140K,no data,
10/04/2023 18:19,Science & Technology careers,Game Designer,218,$80K,"Undertake a qualification in the area of game design. This is commonly a Certificate IV in Information Technology (Gaming Development) (ICT40120) or a 
Diploma of Information Technology (ICT50220).",
10/04/2023 18:19,Information & Communication Technology careers,Game Developer,734,$100K,The technology in use in the gaming industry evolves constantly. It is important to keep up to date with the programming languages and game engines that are currently in use in the industry and aim to specialise in one of the in-demand programming languages.,
10/04/2023 18:19,Trades & Services careers,Hardware Technician,86,N/A,no data,
10/04/2023 18:19,Information & Communication Technology careers,Helpdesk Analyst,"1,303",$68K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Helpdesk Coordinator,1,$60K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Helpdesk Manager,113,$103K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Helpdesk Officer,"1,222",$65K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Helpdesk Operator,302,$60K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Helpdesk Team Leader,218,N/A,no data,
10/04/2023 18:19,Information & Communication Technology careers,Helpdesk Technician,66,$70K,no data,
10/04/2023 18:19,Information & Communication Technology careers,IT Business Analyst,"1,980",$110K,"Complete a bachelor degree in business administration, information systems or a related field. Alternatively, for students with previous tertiary qualifications in an unrelated field, complete a postgraduate qualification in business administration or a similar discipline.",
10/04/2023 18:19,Information & Communication Technology careers,IT Consultant,245,$90K,Complete a bachelor degree majoring in Information Technology. This is usually a three–year course of study.,
10/04/2023 18:19,Information & Communication Technology careers,IT Manager,"3,442",$135K,"Complete a bachelor degree in computer science, information technology, IT project management or a related field.",
10/04/2023 18:19,Information & Communication Technology careers,IT Project Manager,"3,509",$135K,Consider completing an undergraduate degree such as the Bachelor of Information Technology or Bachelor of Computer Science.,
10/04/2023 18:19,Information & Communication Technology careers,IT Service Desk Analyst,"1,382",$68K,no data,
10/04/2023 18:19,Information & Communication Technology careers,IT Support Engineer,"2,058",$78K,no data,
10/04/2023 18:19,Information & Communication Technology careers,IT Support Officer,"1,340",$73K,"Complete a qualification in information technology, or information technology support, such a Diploma of Information Technology (ICT50115) or a Bachelor of Information Technology. You’ll usually need a senior secondary school certificate or equivalent to gain entry.",
10/04/2023 18:19,Information & Communication Technology careers,IT Support Technician,"1,270",$73K,"Complete a qualification in information technology, or information technology support, such a Diploma of Information Technology (ICT50115) or a Bachelor of Information Technology. You’ll usually need a senior secondary school certificate or equivalent to gain entry.",
10/04/2023 18:19,Information & Communication Technology careers,IT Technician,552,$70K,Complete a qualification in Information Technology. This could be the Diploma of Information Technology (ICT50118) or a Bachelor of Information Technology.,
10/04/2023 18:19,Information & Communication Technology careers,Implementation Consultant,234,$120K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Implementation Engineer,96,$105K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Implementation Manager,213,$130K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Implementation Specialist,40,$90K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Incident Manager,225,$130K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Incident and Problem Manager,271,$105K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Information Analyst,59,$85K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Information Management Manager,485,N/A,no data,
10/04/2023 18:19,Information & Communication Technology careers,Information Manager,228,$130K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Information Security Analyst,242,$110K,"Complete a bachelor degree in computer science, programming, or a related field.",
10/04/2023 18:19,Information & Communication Technology careers,Information Technology Director,195,$155K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Information Technology Specialist,583,N/A,no data,
10/04/2023 18:19,Information & Communication Technology careers,Infrastructure Analyst,47,$105K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Infrastructure Architect,989,$180K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Infrastructure Consultant,7,$125K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Infrastructure Engineer,"2,092",$125K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Infrastructure Lead,240,$135K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Infrastructure Manager,377,$130K,no data,
10/04/2023 18:19,Engineering careers,Infrastructure Officer,18,$85K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Infrastructure Project Manager,"1,756",$140K,"Obtain a White Card. You can apply for a White Card online, and it is mandatory to hold one in order to work on a construction site in Australia.",
10/04/2023 18:19,Information & Communication Technology careers,Infrastructure Specialist,44,$115K,no data,
10/04/2023 18:19,Consulting & Strategy careers,Innovation Officer,3,N/A,no data,
10/04/2023 18:19,Marketing & Communications careers,Insights Analyst,247,$110K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Integration Analyst,49,$105K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Integration Consultant,17,$140K,no data,
10/04/2023 18:19,Information & Communication Technology careers,Integration Developer,358,$125K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Integration Engineer,153,$135K,"Complete a relevant degree, such as a Bachelor of Computer Science, Bachelor of Information Technology or Bachelor of Software Engineering. This usually takes three to four years of full-time study. ",
10/04/2023 18:20,Information & Communication Technology careers,Integration Manager,66,$155K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Integration Specialist,60,$145K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Intelligence Manager,37,$135K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Java Developer,"2,204",$130K,"Complete a relevant degree, such as a Bachelor of Computer Science, Bachelor of Information Technology or Bachelor of Software Engineering (Honours). Alternatively, a VET qualification such as a Diploma of Information Technology (ICT50220) can introduce you to some of the skills required for the role.",
10/04/2023 18:20,Information & Communication Technology careers,Java Engineer,113,$140K,no data,
10/04/2023 18:20,Information & Communication Technology careers,JavaScript Developer,686,$115K,Complete a qualification in Computer Science with a focus on software development. This could be a Diploma of Information Technology (ICT50115) or a Bachelor degree majoring in Software Development.,
10/04/2023 18:20,Information & Communication Technology careers,Licensing Specialist,2,N/A,no data,
10/04/2023 18:20,Information & Communication Technology careers,Magento Developer,9,$115K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Management Analyst,196,$100K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Mobile Application Developer,280,$130K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering. This usually takes three to four years of full-time study.  ",
10/04/2023 18:20,Information & Communication Technology careers,Mobile Developer,296,$130K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Monitoring Engineer,33,$105K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Network Administrator,"1,209",$90K,"Complete a relevant qualification such as a Diploma of Information Technology (Advanced Networking) (ICT50220), or a bachelor degree in information technology or computer science.  ",
10/04/2023 18:20,Information & Communication Technology careers,Network Architect,866,$150K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Network Consultant,153,$148K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Network Engineer,"3,664",$115K,"Complete a relevant degree, such as a Bachelor of Computer Science, Bachelor of Information Systems or Bachelor of Information Technology. If you have a previous tertiary qualification in another discipline, consider completing a postgraduate degree in information technology or networking. ",
10/04/2023 18:20,Information & Communication Technology careers,Network Specialist,995,$105K,"Complete a bachelor degree in information technology, computer science or a similar field. This usually takes three years. ",
10/04/2023 18:20,Information & Communication Technology careers,Network Technician,398,$75K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Network and Systems Engineer,"1,362",$100K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Operations Engineer,190,$120K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Operations Lead,233,$125K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Operations Specialist,185,N/A,no data,
10/04/2023 18:20,Information & Communication Technology careers,Optimisation Analyst,6,$110K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Optimisation Specialist,8,$110K,no data,
10/04/2023 18:20,Information & Communication Technology careers,PHP Developer,974,$108K,"Complete a bachelor degree in computer science, IT or software engineering. Alternatively, a VET course such as a Diploma of Information Technology (ICT50220) can introduce you to the basic skills required for the role. ",
10/04/2023 18:20,Information & Communication Technology careers,Penetration Tester,564,$120K,"Complete a bachelor degree in cyber security, computer science, information technology or a related field.",
10/04/2023 18:20,Human Resources & Recruitment careers,Performance Consultant,18,$105K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Performance Engineer,82,$145K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Platform Engineer,377,$135K,no data,
10/04/2023 18:20,Government & Defence careers,Platform Manager,131,$160K,no data,
10/04/2023 18:20,Marketing & Communications careers,Platform Specialist,58,$125K,no data,
10/04/2023 18:20,Banking & Financial Services careers,Portfolio Analyst,129,$105K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Portfolio Manager,168,$150K,"Complete a bachelor degree in finance, accounting, commerce, economics or business. Selecting subjects that focus on investing, such as risk management, asset management or statistics can give you a solid background in portfolio management. ",
10/04/2023 18:20,Insurance & Superannuation careers,Portfolio Specialist,19,$155K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Presales Consultant,134,$150K,"Consider completing a relevant qualification. This could be a degree in business or commerce, or a degree related to your field of work, such as a Bachelor of Information Technology or Bachelor of Computer Science. ",
10/04/2023 18:20,Information & Communication Technology careers,Presales Engineer,113,$125K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Problem Manager,91,$105K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Process Analyst,"1,215",$128K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Product Analyst,251,$100K,no data,
10/04/2023 18:20,Information & Communication Technology careers,Product Designer,"3,139",$125K,"Complete a qualification in Product Design. This may be a Certificate IV in Design (CUA40715), or Bachelor degree majoring in Product Design. Alternatively, if you already have a degree, you can complete a postgraduate qualification in digital product design or product management.",
10/04/2023 18:20,Information & Communication Technology careers,Product Lead,552,$140K,no data,
10/04/2023 18:20,Marketing & Communications careers,Product Manager,"2,181",$125K,"A qualification in a related discipline may be an advantage, such as IT, computer science, marketing, or business. ",
